Block Number,Tx Hash,From,To,Value,Data,Deocde_data
394,0xda5c309378d188a9c974b769bbc64a9ddf0830bf032d8a0ebfe9ec75a56106ac,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xbc6911ba0000000000000000000000000000000000000000000000000000000000000008,"{'function_name': 'StartPingPong', 'inputs': (<Function StartPingPong(int256)>, {'pingPongTimes': 11})}"
395,0xc7e3356545deba568f64ba979f1e0f9e30a27f17a1ab4409431ab5df1918d9bb,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xbc6911ba0000000000000000000000000000000000000000000000000000000000000008,"{'function_name': 'Pong', 'inputs': (<Function Pong(int256)>, {'currentPingPongTimes': 8})}"
396,0xdda1226abdc12f3fd485f9a1b28312be33923c1f3a52f7298771b09cce240107,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xbc6911ba0000000000000000000000000000000000000000000000000000000000000001,"{'function_name': 'Pong', 'inputs': (<Function Pong(int256)>, {'currentPingPongTimes': 8})}"
397,0xd2c1c670760b9c2a4dfc54b63f86ec9f06a6c37abb403f5b7ba9bccad30e0b05,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xca8a09d40000000000000000000000000000000000000000000000000000000000000005,"{'function_name': 'Pong', 'inputs': (<Function Pong(int256)>, {'currentPingPongTimes': 1})}"
398,0xf5b34a41217caaf90fcd531b8de52b51e70853883852b2759b326c156b49b8cf,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xca8a09d4000000000000000000000000000000000000000000000000000000000000000c,"{'function_name': 'StartPingPong', 'inputs': (<Function StartPingPong(int256)>, {'pingPongTimes': 5})}"
399,0xd12e703671f65f53e5da4d50b646288eb6982132c3aa68af3261c3a9461dbf22,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xca8a09d4000000000000000000000000000000000000000000000000000000000000000c,"{'function_name': 'StartPingPong', 'inputs': (<Function StartPingPong(int256)>, {'pingPongTimes': 12})}"
400,0x7db0b3a3ffd9d384383191c75b69fe25c1a8a6d48f977ba83abc195773dd4a97,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xca8a09d40000000000000000000000000000000000000000000000000000000000000003,"{'function_name': 'StartPingPong', 'inputs': (<Function StartPingPong(int256)>, {'pingPongTimes': 12})}"
401,0x0eaa5fd4d0abd2cc15e21b570ac82f79b410ebf1baa7e55e8314d14d7041cc09,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xca8a09d40000000000000000000000000000000000000000000000000000000000000003,"{'function_name': 'StartPingPong', 'inputs': (<Function StartPingPong(int256)>, {'pingPongTimes': 3})}"
402,0x6acd58c92bc96ea10ff5f696c38cf397013e38d02a2bd047176157fa845517cf,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0x5a2fdc8a,"{'function_name': 'StartPingPong', 'inputs': (<Function StartPingPong(int256)>, {'pingPongTimes': 3})}"
403,0xb4ad4c217687e4e64aee57cc39d4499dc94309994ee7a84f23e524421425bac9,0x35fA38D6e01F98B5e9f7672b0294177388BB381e,0x1430e7FB1379be9F6Aa5Ce5200bbB4c0e36f6fdC,0,0xbc6911ba0000000000000000000000000000000000000000000000000000000000000001,"{'function_name': 'FinishGame', 'inputs': (<Function FinishGame()>, {})}"
